Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Taiwan,Taiwan,1/24/2020 ,3,,,
Ningxia,Mainland China,1/24/2020 ,2,,,1
Hong Kong,Hong Kong,1/24/2020 ,2,,,36
Macau,Macau,1/24/2020 ,2,,,
Hebei,Mainland China,1/24/2020 ,2,1,,
Gansu,Mainland China,1/24/2020 ,2,,,
Xinjiang,Mainland China,1/24/2020 ,2,,,
Shanxi,Mainland China,1/24/2020 ,1,,,
Inner Mongolia,Mainland China,1/24/2020 ,1,,,2
Qinghai,Mainland China,1/24/2020 ,0,,,1
Washington,US,1/24/2020 ,1,,,
Chicago,US,1/24/2020 ,1,,,
,Japan,1/24/2020 ,2,,,
,Thailand,1/24/2020 ,5,,,
,South Korea,1/24/2020 ,2,,,
,Singapore ,1/24/2020 ,3,,,
,Vietnam,1/24/2020 ,2,,,
,France,1/24/2020 ,2,,,
Hubei,Mainland China,1/25/2020 ,1052,,42,52
Zhejiang,Mainland China,1/25/2020 ,104,,1,
Guangdong,Mainland China,1/25/2020 ,98,,2,
Henan,Mainland China,1/25/2020 ,83,3,,1
Chongqing,Mainland China,1/25/2020 ,75,,,
Hunan,Mainland China,1/25/2020 ,69,,,
Anhui,Mainland China,1/25/2020 ,60,4,,
Beijing,Mainland China,1/25/2020 ,51,,2,
Sichuan,Mainland China,1/25/2020 ,44,4,,
Shanghai,Mainland China,1/25/2020 ,40,72,1,1
Shandong,Mainland China,1/25/2020 ,39,,,
Jiangxi,Mainland China,1/25/2020 ,36,,,
Guangxi,Mainland China,1/25/2020 ,33,,,
Jiangsu,Mainland China,1/25/2020 ,31,,1,
Hainan,Mainland China,1/25/2020 ,19,,,
Liaoning,Mainland China,1/25/2020 ,19,,,
Fujian,Mainland China,1/25/2020 ,18,20,,
Heilongjiang,Mainland China,1/25/2020 ,15,,,1
Shaanxi,Mainland China,1/25/2020 ,15,,,
Tianjin,Mainland China,1/25/2020 ,13,,,
Hebei,Mainland China,1/25/2020 ,13,,,1
Yunnan,Mainland China,1/25/2020 ,11,58,,
Shanxi,Mainland China,1/25/2020 ,9,,,
Inner Mongolia,Mainland China,1/25/2020 ,7,,,
Gansu,Mainland China,1/25/2020 ,7,,,
Guizhou,Mainland China,1/25/2020 ,5,,,
Hong Kong,Hong Kong,1/25/2020 ,5,244,,
Ningxia,Mainland China,1/25/2020 ,4,1,,
Jilin,Mainland China,1/25/2020 ,4,,,
Xinjiang,Mainland China,1/25/2020 ,4,,,
Taiwan,Taiwan,1/25/2020 ,3,,,
Macau,Macau,1/25/2020 ,2,,,
Qinghai,Mainland China,1/25/2020 ,1,,,
Washington,US,1/25/2020 ,1,,,
Illinois,US,1/25/2020 ,1,,,
,Japan,1/25/2020 ,2,,,
,Thailand,1/25/2020 ,7,,,
,South Korea,1/25/2020 ,3,,,
,Singapore ,1/25/2020 ,3,,,
,Vietnam,1/25/2020 ,2,,,
,France,1/25/2020 ,3,,,
,Australia,1/25/2020 ,4,,,
,Nepal,1/25/2020 ,1,,,
,Malaysia ,1/25/2020 ,3,,,
Hubei,Mainland China,1/26/20,1423,76,44,
Guangdong,Mainland China,1/26/20,146,,2,
Zhejiang,Mainland China,1/26/20,128,,1,
Henan,Mainland China,1/26/20,128,1,,
Chongqing,Mainland China,1/26/20,110,,,
Hunan,Mainland China,1/26/20,100,,,
Anhui,Mainland China,1/26/20,70,,,
Sichuan,Mainland China,1/26/20,69,,,
Beijing,Mainland China,1/26/20,68,,2,
Shandong,Mainland China,1/26/20,63,,,
Shanghai,Mainland China,1/26/20,53,1,1,
Jiangxi,Mainland China,1/26/20,48,,,
Jiangsu,Mainland China,1/26/20,47,,1,
Guangxi,Mainland China,1/26/20,46,,,
Fujian,Mainland China,1/26/20,35,,,
Liaoning,Mainland China,1/26/20,23,,,
Hainan,Mainland China,1/26/20,22,,,
Shaanxi,Mainland China,1/26/20,22,,,
Heilongjiang,Mainland China,1/26/20,21,1,,
Yunnan,Mainland China,1/26/20,19,,,
Hebei,Mainland China,1/26/20,18,1,,
Tianjin,Mainland China,1/26/20,14,,,
Gansu,Mainland China,1/26/20,14,,,
Shanxi,Mainland China,1/26/20,13,,,
Inner Mongolia,Mainland China,1/26/20,11,,,
Hong Kong,Hong Kong,1/26/20,8,,,
Guizhou,Mainland China,1/26/20,7,,,
Jilin,Mainland China,1/26/20,6,,,
Macau,Macau,1/26/20,6,,,
Xinjiang,Mainland China,1/26/20,5,,,
Ningxia,Mainland China,1/26/20,4,,,
Taiwan,Taiwan,1/26/20,4,,,
Qinghai,Mainland China,1/26/20,4,,,
Washington,US,1/26/20,1,,,
Illinois,US,1/26/20,1,,,
California,US,1/26/20,2,,,
Arizona,US,1/26/20,1,,,
,Japan,1/26/20,4,,1,
,Thailand,1/26/20,8,,2,
,South Korea,1/26/20,3,,,
,Singapore ,1/26/20,4,,,
,Vietnam,1/26/20,2,,,
,France,1/26/20,3,,,
,Australia,1/26/20,4,,,
,Nepal,1/26/20,1,,,
,Malaysia ,1/26/20,4,,,
Ontario,Canada,1/26/20,1,,,
Hubei,Mainland China,1/27/2020,2714,100,47,
Zhejiang,Mainland China,1/27/2020,173,,1,
Henan,Mainland China,1/27/2020,168,1,,
Guangdong,Mainland China,1/27/2020,151,,4,
Chongqing,Mainland China,1/27/2020,132,,,
Anhui,Mainland China,1/27/2020,106,,,
Hunan,Mainland China,1/27/2020,100,,,
Sichuan,Mainland China,1/27/2020,90,,,
Shandong,Mainland China,1/27/2020,87,,,
Beijing,Mainland China,1/27/2020,80,1,2,
Jiangxi,Mainland China,1/27/2020,72,,2,
Jiangsu,Mainland China,1/27/2020,70,,1,
Shanghai,Mainland China,1/27/2020,66,1,3,
Fujian,Mainland China,1/27/2020,59,,,
Guangxi,Mainland China,1/27/2020,51,,,
Shaanxi,Mainland China,1/27/2020,35,,,
Hainan,Mainland China,1/27/2020,33,1,,
Hebei,Mainland China,1/27/2020,33,1,,
Heilongjiang,Mainland China,1/27/2020,30,1,,
Liaoning,Mainland China,1/27/2020,27,,,
Yunnan,Mainland China,1/27/2020,26,,,
Tianjin,Mainland China,1/27/2020,23,,,
Shanxi,Mainland China,1/27/2020,20,,,
Gansu,Mainland China,1/27/2020,19,,,
Inner Mongolia,Mainland China,1/27/2020,11,,,
Guizhou,Mainland China,1/27/2020,9,,,
Hong Kong,Hong Kong,1/27/2020,8,,,
Ningxia,Mainland China,1/27/2020,7,,,
Jilin,Mainland China,1/27/2020,6,,,
Macau,Macau,1/27/2020,6,,,
Qinghai,Mainland China,1/27/2020,6,,,
Taiwan,Taiwan,1/27/2020,5,,,
Xinjiang,Mainland China,1/27/2020,5,,,
Washington,US,1/27/2020,1,,,
Illinois,US,1/27/2020,1,,,
California,US,1/27/2020,2,,,
Arizona,US,1/27/2020,1,,,
,Japan,1/27/2020,4,,1,
,Thailand,1/27/2020,8,,2,
,South Korea,1/27/2020,4,,,
,Singapore ,1/27/2020,5,,,
,Vietnam,1/27/2020,2,,,
,France,1/27/2020,3,,,
,Nepal,1/27/2020,1,,,
,Malaysia ,1/27/2020,4,,,
Ontario,Canada,1/27/2020,1,,,
,Cambodia,1/27/2020,1,,,
,Sri Lanka,1/27/2020,1,,,
,Ivory Coast,1/27/2020,0,,,
New South Wales,Australia,1/27/2020,4,,,
Victoria,Australia,1/27/2020,1,,,
Bavaria,Germany,1/27/2020,1,,,
Hubei,Mainland China,1/28/20 ,3554,125,80,
Zhejiang,Mainland China,1/28/20 ,296,,3,
Guangdong,Mainland China,1/28/20 ,241,,5,
Hunan,Mainland China,1/28/20 ,221,,,
Henan,Mainland China,1/28/20 ,206,2,1,
Anhui,Mainland China,1/28/20 ,152,,,
Chongqing,Mainland China,1/28/20 ,147,,1,
Shandong,Mainland China,1/28/20 ,121,,,
Jiangxi,Mainland China,1/28/20 ,109,,3,
Sichuan,Mainland China,1/28/20 ,108,,,
Jiangsu,Mainland China,1/28/20 ,99,,1,
Beijing,Mainland China,1/28/20 ,91,1,4,
Fujian,Mainland China,1/28/20 ,82,,,
Shanghai,Mainland China,1/28/20 ,80,1,4,
Guangxi,Mainland China,1/28/20 ,58,,2,
Shaanxi,Mainland China,1/28/20 ,56,,,
Hebei,Mainland China,1/28/20 ,48,1,,
Yunnan,Mainland China,1/28/20 ,44,,,
Hainan,Mainland China,1/28/20 ,43,1,,
Heilongjiang,Mainland China,1/28/20 ,37,1,,
Liaoning,Mainland China,1/28/20 ,36,,,
Shanxi,Mainland China,1/28/20 ,27,,,
Tianjin,Mainland China,1/28/20 ,25,,,
Gansu,Mainland China,1/28/20 ,24,,,
Inner Mongolia,Mainland China,1/28/20 ,16,,,
Xinjiang,Mainland China,1/28/20 ,13,,,
Ningxia,Mainland China,1/28/20 ,12,,,
Guizhou,Mainland China,1/28/20 ,9,,,
Jilin,Mainland China,1/28/20 ,9,,,
Hong Kong,Hong Kong,1/28/20 ,8,,,
Taiwan,Taiwan,1/28/20 ,8,,,
Macau,Macau,1/28/20 ,7,,,
Qinghai,Mainland China,1/28/20 ,6,,,
Washington,US,1/28/20 ,1,,,
Illinois,US,1/28/20 ,1,,,
California,US,1/28/20 ,2,,,
Arizona,US,1/28/20 ,1,,,
,Japan,1/28/20 ,7,,1,
,Thailand,1/28/20 ,14,,5,
,South Korea,1/28/20 ,4,,,
,Singapore ,1/28/20 ,7,,,
,Vietnam,1/28/20 ,2,,,
,France,1/28/20 ,4,,,
,Nepal,1/28/20 ,1,,,
,Malaysia ,1/28/20 ,7,,,
Ontario,Canada,1/28/20 ,1,,,
British Columbia,Canada,1/28/20 ,1,,,
,Cambodia,1/28/20 ,1,,,
,Sri Lanka,1/28/20 ,1,,,
New South Wales,Australia,1/28/20 ,4,,,
Victoria,Australia,1/28/20 ,1,,,
Bavaria,Germany,1/28/20 ,4,,,
Hubei,Mainland China,1/29/20 ,4586,162,90,
Zhejiang,Mainland China,1/29/20 ,428,,4,
Guangdong,Mainland China,1/29/20 ,311,,6,
Henan,Mainland China,1/29/20 ,278,2,2,
Hunan,Mainland China,1/29/20 ,277,,,
Anhui,Mainland China,1/29/20 ,200,,2,
Chongqing,Mainland China,1/29/20 ,165,,1,
Jiangxi,Mainland China,1/29/20 ,162,,4,
Shandong,Mainland China,1/29/20 ,145,,1,
Sichuan,Mainland China,1/29/20 ,142,1,1,
Jiangsu,Mainland China,1/29/20 ,129,,1,
Beijing,Mainland China,1/29/20 ,111,1,4,
Shanghai,Mainland China,1/29/20 ,101,1,5,
Fujian,Mainland China,1/29/20 ,101,,,
Guangxi,Mainland China,1/29/20 ,78,,2,
Hebei,Mainland China,1/29/20 ,65,1,,
Shaanxi,Mainland China,1/29/20 ,56,,,
Yunnan,Mainland China,1/29/20 ,55,,,
Hainan,Mainland China,1/29/20 ,43,1,,
Heilongjiang,Mainland China,1/29/20 ,43,1,,
Liaoning,Mainland China,1/29/20 ,39,,1,
Shanxi,Mainland China,1/29/20 ,35,,1,
Tianjin,Mainland China,1/29/20 ,27,,,
Gansu,Mainland China,1/29/20 ,26,,,
Inner Mongolia,Mainland China,1/29/20 ,16,,,
Jilin,Mainland China,1/29/20 ,14,,1,
Xinjiang,Mainland China,1/29/20 ,14,,,
Guizhou,Mainland China,1/29/20 ,12,,1,
Ningxia,Mainland China,1/29/20 ,12,,,
Hong Kong,Hong Kong,1/29/20 ,10,,,
Taiwan,Taiwan,1/29/20 ,8,,,
Macau,Macau,1/29/20 ,7,,,
Qinghai,Mainland China,1/29/20 ,6,,,
Tibet,Mainland China,1/29/20 ,1,,,
Washington,US,1/29/20 ,1,,,
Illinois,US,1/29/20 ,1,,,
California,US,1/29/20 ,2,,,
Arizona,US,1/29/20 ,1,,,
,Japan,1/29/20 ,11,,1,
,Thailand,1/29/20 ,14,,5,
,South Korea,1/29/20 ,4,,,
,Singapore ,1/29/20 ,10,,,
,Vietnam,1/29/20 ,2,,,
,France,1/29/20 ,5,,,
,Nepal,1/29/20 ,1,,,
,Malaysia ,1/29/20 ,7,,,
Ontario,Canada,1/29/20 ,2,,,
British Columbia,Canada,1/29/20 ,1,,,
,Cambodia,1/29/20 ,1,,,
,Sri Lanka,1/29/20 ,1,,,
New South Wales,Australia,1/29/20 ,4,,,
Victoria,Australia,1/29/20 ,2,,,
Queensland,Australia,1/29/20 ,1,,,
Bavaria,Germany,1/29/20 ,4,,,
,Finland,1/29/20 ,1,,,
,United Arab Emirates,1/29/20 ,4,,,
Hubei,Mainland China,1/30/20 ,5806,204,116,
Zhejiang,Mainland China,1/30/20 ,537,,9,
Guangdong,Mainland China,1/30/20 ,393,,11,
Henan,Mainland China,1/30/20 ,352,2,3,
Hunan,Mainland China,1/30/20 ,332,,2,
Jiangxi,Mainland China,1/30/20 ,240,,7,
Anhui,Mainland China,1/30/20 ,237,,3,
Chongqing,Mainland China,1/30/20 ,206,,1,
Shandong,Mainland China,1/30/20 ,178,,2,
Sichuan,Mainland China,1/30/20 ,177,1,1,
Jiangsu,Mainland China,1/30/20 ,168,,2,
Shanghai,Mainland China,1/30/20 ,128,1,9,
Beijing,Mainland China,1/30/20 ,121,1,5,
Fujian,Mainland China,1/30/20 ,101,,,
Guangxi,Mainland China,1/30/20 ,87,,2,
Hebei,Mainland China,1/30/20 ,82,1,,
Yunnan,Mainland China,1/30/20 ,76,,,
Shaanxi,Mainland China,1/30/20 ,87,,,
Heilongjiang,Mainland China,1/30/20 ,59,2,,
Hainan,Mainland China,1/30/20 ,50,1,1,
Liaoning,Mainland China,1/30/20 ,45,,1,
Shanxi,Mainland China,1/30/20 ,39,,1,
Tianjin,Mainland China,1/30/20 ,32,,,
Gansu,Mainland China,1/30/20 ,29,,,
Ningxia,Mainland China,1/30/20 ,21,,1,
Inner Mongolia,Mainland China,1/30/20 ,20,,,
Xinjiang,Mainland China,1/30/20 ,17,,,
Guizhou,Mainland China,1/30/20 ,15,,1,
Jilin,Mainland China,1/30/20 ,14,,1,
Hong Kong,Hong Kong,1/30/20 ,12,,,
Taiwan,Taiwan,1/30/20 ,9,,,
Qinghai,Mainland China,1/30/20 ,8,,,
Macau,Macau,1/30/20 ,7,,,
Tibet,Mainland China,1/30/20 ,1,,,
Washington,US,1/30/20 ,1,,,
Illinois,US,1/30/20 ,2,,,
California,US,1/30/20 ,2,,,
Arizona,US,1/30/20 ,1,,,
,Japan,1/30/20 ,11,,1,
,Thailand,1/30/20 ,14,,5,
,South Korea,1/30/20 ,6,,,
,Singapore ,1/30/20 ,10,,,
,Vietnam,1/30/20 ,2,,,
,France,1/30/20 ,5,,,
,Nepal,1/30/20 ,1,,,
,Malaysia ,1/30/20 ,8,,,
Ontario,Canada,1/30/20 ,2,,,
British Columbia,Canada,1/30/20 ,1,,,
,Cambodia,1/30/20 ,1,,,
,Sri Lanka,1/30/20 ,1,,,
New South Wales,Australia,1/30/20 ,4,,2,
Victoria,Australia,1/30/20 ,2,,,
Queensland,Australia,1/30/20 ,3,,,
Bavaria,Germany,1/30/20 ,4,,,
,Finland,1/30/20 ,1,,,
,United Arab Emirates,1/30/20 ,4,,,
,Philippines,1/30/20 ,1,,,
,India,1/30/20 ,1,,,
,Italy,1/30/20 ,2,,,
Hubei,Mainland China,1/31/20,5806,204,141,
Zhejiang,Mainland China,1/31/20,538,,14,
Guangdong,Mainland China,1/31/20,436,,11,
Henan,Mainland China,1/31/20,352,2,3,
Hunan,Mainland China,1/31/20,332,,2,
Jiangxi,Mainland China,1/31/20,240,,7,
Anhui,Mainland China,1/31/20,237,,3,
Chongqing,Mainland China,1/31/20,211,,1,
Shandong,Mainland China,1/31/20,184,,2,
Sichuan,Mainland China,1/31/20,177,1,1,
Jiangsu,Mainland China,1/31/20,168,,5,
Beijing,Mainland China,1/31/20,139,1,5,
Shanghai,Mainland China,1/31/20,135,1,9,
Fujian,Mainland China,1/31/20,120,,,
Guangxi,Mainland China,1/31/20,87,,2,
Shaanxi,Mainland China,1/31/20,87,,,
Yunnan,Mainland China,1/31/20,83,,1,
Hebei,Mainland China,1/31/20,82,1,,
Heilongjiang,Mainland China,1/31/20,59,2,,
Hainan,Mainland China,1/31/20,52,1,1,
Liaoning,Mainland China,1/31/20,48,,1,
Shanxi,Mainland China,1/31/20,39,,1,
Tianjin,Mainland China,1/31/20,32,,,
Guizhou,Mainland China,1/31/20,29,,2,
Gansu,Mainland China,1/31/20,29,,,
Ningxia,Mainland China,1/31/20,21,,,
Inner Mongolia,Mainland China,1/31/20,20,,1,
Xinjiang,Mainland China,1/31/20,17,,,
Jilin,Mainland China,1/31/20,14,,1,
Hong Kong,Hong Kong,1/31/20,12,,,
Taiwan,Taiwan,1/31/20,10,,,
Qinghai,Mainland China,1/31/20,8,,,
Macau,Macau,1/31/20,7,,,
Tibet,Mainland China,1/31/20,1,,,
,Thailand,1/31/20,19,,5,
,Japan,1/31/20,15,,1,
,Singapore,1/31/20,13,,,
,South Korea,1/31/20,11,,,
,Malaysia,1/31/20,8,,,
,France,1/31/20,5,,,
Bavaria,Germany,1/31/20,5,,,
New South Wales,Australia,1/31/20,4,,2,
,United Arab Emirates,1/31/20,4,,,
Victoria,Australia,1/31/20,3,,,
Illinois,US,1/31/20,2,,,
California,US,1/31/20,2,,,
,Vietnam,1/31/20,2,,,
Ontario,Canada,1/31/20,2,,,
Queensland,Australia,1/31/20,2,,,
,Italy,1/31/20,2,,,
,UK,1/31/20,2,,,
,Russia,1/31/20,2,,,
Washington,US,1/31/20,1,,,
Arizona,US,1/31/20,1,,,
,Nepal,1/31/20,1,,,
British Columbia,Canada,1/31/20,1,,,
,Cambodia,1/31/20,1,,,
,Sri Lanka,1/31/20,1,,,
,Finland,1/31/20,1,,,
,Philippines,1/31/20,1,,,
,India,1/31/20,1,,,
,Sweden,1/31/20,1,,,
Hubei,Mainland China,2/1/2020,9074,294,215,
Zhejiang,Mainland China,2/2/2020,661,0,23,
Guangdong,Mainland China,2/2/2020,604,0,14,
Henan,Mainland China,2/2/2020,493,2,4,
Hunan,Mainland China,2/2/2020,463,0,8,
Anhui,Mainland China,2/2/2020,340,0,5,
Jiangxi,Mainland China,2/2/2020,333,0,10,
Chongqing,Mainland China,2/1/2020 ,262,1,3,
Jiangsu,Mainland China,2/2/2020,236,0,6,
Sichuan,Mainland China,2/2/2020,231,1,3,
Shandong,Mainland China,2/2/2020,225,0,5,
Beijing,Mainland China,2/2/2020,183,1,9,
Shanghai,Mainland China,2/2/2020,177,1,10,
Fujian,Mainland China,2/2/2020,159,0,0,
Shaanxi,Mainland China,2/2/2020,116,0,0,
Guangxi,Mainland China,2/2/2020,111,0,2,
Hebei,Mainland China,2/2/2020,104,1,3,
Heilongjiang,Mainland China,2/2/2020,95,2,2,
Yunnan,Mainland China,2/1/2020 ,93,0,2,
Liaoning,Mainland China,2/1/2020 ,64,0,1,
Hainan,Mainland China,2/2/2020,63,1,1,
Shanxi,Mainland China,2/1/2020 ,56,0,1,
Tianjin,Mainland China,2/2/2020,45,0,0,
Gansu,Mainland China,2/1/2020 ,40,0,0,
Guizhou,Mainland China,2/2/2020,38,0,2,
Ningxia,Mainland China,2/2/2020,28,0,0,
Inner Mongolia,Mainland China,2/2/2020,27,0,1,
Jilin,Mainland China,2/2/2020,23,0,1,
Xinjiang,Mainland China,2/2/2020,21,0,0,
,Japan,2/1/2020 ,20,0,1,
,Thailand,1/31/2020 ,19,0,5,
,Singapore,2/2/2020 ,18,0,0,
,South Korea,2/2/2020 ,15,0,0,
Hong Kong,Hong Kong,2/2/2020 ,14,0,0,
Taiwan,Taiwan,1/31/2020 ,10,0,0,
Qinghai,Mainland China,2/1/2020 ,9,0,0,
,Germany,2/1/2020 ,8,0,0,
,Malaysia,1/31/2020 ,8,0,0,
Macau,Macau,1/31/2020 ,7,0,0,
,France,2/1/2020 ,6,0,0,
,Vietnam,2/1/2020 ,6,0,1,
New South Wales,Australia,2/1/2020 ,4,0,2,
Victoria,Australia,2/1/2020 ,4,0,0,
,United Arab Emirates,1/31/2020 ,4,0,0,
Queensland,Australia,2/1/2020 ,2,0,0,
Ontario,Canada,2/1/2020 ,3,0,0,
,Italy,1/31/2020 ,2,0,0,
,Philippines,2/2/2020 ,2,1,0,
,Russia,1/31/2020 ,2,0,0,
,UK,2/1/2020 ,2,0,0,
"Chicago, IL",US,2/1/2020 ,2,0,0,
South Australia,Australia,2/1/2020 ,2,0,0,
,Cambodia,1/31/2020 ,1,0,0,
British Columbia,Canada,2/1/2020 ,1,0,0,
,Finland,1/31/2020 ,1,0,0,
,India,1/31/2020 ,1,0,0,
Tibet,Mainland China,2/1/2020 ,1,0,0,
,Nepal,1/31/2020 ,1,0,0,
,Spain,2/1/2020 ,1,0,0,
,Sri Lanka,1/31/2020 ,1,0,0,
,Sweden,2/1/2020 ,1,0,0,
"Boston, MA",US,2/1/2020 ,1,0,0,
"Los Angeles, CA",US,2/1/2020 ,1,0,0,
"Orange, CA",US,2/1/2020 ,1,0,0,
"Santa Clara, CA",US,2/1/2020 ,1,0,0,
"Seattle, WA",US,2/1/2020 ,1,0,0,
"Tempe, AZ",US,2/1/2020 ,1,0,0,
Hubei,Mainland China,2/2/2020,11177,350,295,
Zhejiang,Mainland China,2/3/2020,724,0,36,
Guangdong,Mainland China,2/3/2020,683,0,15,
Henan,Mainland China,2/3/2020,566,2,14,
Hunan,Mainland China,2/3/2020,521,0,16,
Anhui,Mainland China,2/3/2020,408,0,7,
